county_fips,County,population,num_uninsured,num_insured,pct_uninsured,pct_uninsured_moe,year
00009,Calaveras,4479,1536,2943,34.3,5.8,2008
00009,Calaveras,995,352,644,35.3,7.2,2008
00009,Calaveras,15067,2608,12459,17.3,2.6,2008
00009,Calaveras,3674,1174,2500,32.0,4.3,2008
00009,Calaveras,2200,943,1256,42.9,6.8,2008
00009,Calaveras,37982,6282,31701,16.5,1.5,2008
00009,Calaveras,11205,3442,7763,30.7,3.1,2008
00009,Calaveras,14192,4122,10070,29.0,2.8,2008
00009,Calaveras,7063,2280,4783,32.3,3.7,2008
00009,Calaveras,22991,5309,17682,23.1,2.1,2008
00009,Calaveras,18850,3334,15516,17.7,2.2,2008
00009,Calaveras,5209,1701,3509,32.6,4.3,2008
00009,Calaveras,6695,2071,4624,30.9,3.9,2008
00009,Calaveras,3181,1086,2095,34.2,5.1,2008
00009,Calaveras,11160,2751,8410,24.6,2.9,2008
00009,Calaveras,19132,2948,16185,15.4,2.2,2008
00009,Calaveras,8032,2410,5621,30.0,3.9,2008
00009,Calaveras,7498,2052,5446,27.4,4.0,2008
00009,Calaveras,5996,1742,4255,29.0,4.5,2008
00009,Calaveras,3606,1474,2132,40.9,5.8,2008
00009,Calaveras,14567,2958,11609,20.3,2.8,2008
00009,Calaveras,16976,4662,12314,27.5,2.7,2008
00009,Calaveras,5132,2004,3128,39.1,4.9,2008
00009,Calaveras,4663,1796,2867,38.5,5.2,2008
00009,Calaveras,8085,3009,5076,37.2,4.1,2008
00009,Calaveras,29634,5566,24068,18.8,1.9,2008
00009,Calaveras,11831,2558,9273,21.6,3.0,2008
00009,Calaveras,3882,1194,2688,30.8,5.3,2008
00009,Calaveras,10246,3599,6647,35.1,3.7,2008
00011,Colusa,871,409,462,46.9,6.3,2008
00011,Colusa,3149,1352,1797,42.9,5.6,2008
00011,Colusa,1657,816,841,49.3,7.2,2008
00011,Colusa,4461,1606,2855,36.0,4.6,2008
00011,Colusa,5928,1350,4578,22.8,2.3,2008
00011,Colusa,2356,955,1401,40.5,4.0,2008
00011,Colusa,1097,527,571,48.0,5.4,2008
00011,Colusa,3692,1191,2501,32.3,3.1,2008
00011,Colusa,2988,726,2261,24.3,3.4,2008
00011,Colusa,1151,498,653,43.2,5.6,2008
00011,Colusa,584,264,320,45.2,7.6,2008
00011,Colusa,1841,633,1208,34.4,4.5,2008
00011,Colusa,2940,623,2317,21.2,3.2,2008
00011,Colusa,932,385,547,41.4,6.4,2008
00011,Colusa,1205,457,747,38.0,5.7,2008
00011,Colusa,2541,1167,1374,45.9,6.2,2008
00011,Colusa,1852,558,1293,30.1,4.4,2008
00011,Colusa,6298,961,5337,15.3,2.9,2008
00011,Colusa,3455,635,2820,18.4,4.1,2008
00011,Colusa,4218,750,3468,17.8,3.8,2008
00011,Colusa,2262,424,1838,18.7,4.8,2008
00011,Colusa,5428,898,4531,16.5,3.2,2008
00011,Colusa,514,263,251,51.2,7.5,2008
00011,Colusa,6053,1743,4310,28.8,3.7,2008
00011,Colusa,1803,794,1009,44.0,4.5,2008
00011,Colusa,1433,830,603,57.9,7.0,2008
00011,Colusa,18462,4819,13643,26.1,2.1,2008
00011,Colusa,8215,3035,5179,37.0,3.1,2008
00011,Colusa,10247,3595,6652,35.1,2.9,2008
00011,Colusa,5238,2032,3206,38.8,3.7,2008
00011,Colusa,14217,4385,9831,30.8,2.4,2008
00011,Colusa,9430,2648,6782,28.1,2.9,2008
00011,Colusa,4029,1576,2453,39.1,4.2,2008
00011,Colusa,5098,1903,3195,37.3,3.9,2008
00011,Colusa,2509,1016,1492,40.5,4.9,2008
00011,Colusa,7183,2376,4807,33.1,3.3,2008
00011,Colusa,9032,2171,6861,24.0,2.8,2008
00011,Colusa,4621,1995,2626,43.2,4.6,2008
00011,Colusa,5149,1692,3457,32.9,4.1,2008
00011,Colusa,2729,1015,1714,37.2,5.2,2008
00011,Colusa,7033,2009,5024,28.6,3.4,2008
00011,Colusa,12519,3984,8535,31.8,2.8,2008
00011,Colusa,4932,2467,2465,50.0,4.5,2008
00011,Colusa,6251,2933,3318,46.9,4.1,2008
00011,Colusa,3090,1646,1444,53.3,5.2,2008
00011,Colusa,9082,3601,5481,39.7,3.4,2008
00011,Colusa,6466,2241,4225,34.7,3.9,2008
00011,Colusa,2391,1300,1091,54.4,6.1,2008
00011,Colusa,3102,1581,1521,51.0,5.5,2008
00011,Colusa,4185,1459,2726,34.9,4.5,2008
00013,Contra Costa,117690,26863,90827,22.8,1.8,2008
00013,Contra Costa,29119,9982,19137,34.3,3.7,2008
00013,Contra Costa,62875,19503,43371,31.0,2.7,2008
00013,Contra Costa,47328,15746,31581,33.3,3.1,2008
00013,Contra Costa,64388,21049,43339,32.7,3.5,2008
00013,Contra Costa,140642,33702,106940,24.0,2.1,2008
00013,Contra Costa,42294,13966,28328,33.0,4.1,2008
00013,Contra Costa,82049,25373,56676,30.9,3.0,2008
00013,Contra Costa,175198,18132,157067,10.3,1.2,2008
00013,Contra Costa,362497,35481,327016,9.8,0.8,2008
00013,Contra Costa,21191,7558,13633,35.7,4.5,2008
00013,Contra Costa,34243,9994,24249,29.2,3.7,2008
00013,Contra Costa,12686,4680,8006,36.9,5.4,2008
00013,Contra Costa,54257,13298,40959,24.5,2.6,2008
00013,Contra Costa,187299,17349,169949,9.3,1.1,2008
00013,Contra Costa,26137,8188,17948,31.3,4.2,2008
00013,Contra Costa,16433,5303,11131,32.3,5.0,2008
00013,Contra Costa,63432,13564,49868,21.4,2.4,2008
00013,Contra Costa,264164,18022,246142,6.8,1.0,2008
00013,Contra Costa,67287,9943,57344,14.8,2.6,2008
00013,Contra Costa,87132,12090,75042,13.9,2.3,2008
00013,Contra Costa,43031,6559,36472,15.2,3.1,2008
00013,Contra Costa,332504,41801,290703,12.6,1.1,2008
00013,Contra Costa,28631,9509,19122,33.2,3.9,2008
00013,Contra Costa,138694,15510,123185,11.2,1.6,2008
00013,Contra Costa,125074,39488,85586,31.6,2.4,2008
00013,Contra Costa,70185,28365,41821,40.4,3.4,2008
00013,Contra Costa,904155,109946,794209,12.2,0.7,2008
00013,Contra Costa,180754,52775,127979,29.2,1.9,2008
00013,Contra Costa,234787,64889,169898,27.6,1.7,2008
00013,Contra Costa,114839,33917,80922,29.5,2.3,2008
00013,Contra Costa,396765,87228,309537,22.0,1.2,2008
00013,Contra Costa,450009,60142,389867,13.4,1.0,2008
00013,Contra Costa,85427,27318,58109,32.0,2.8,2008
00013,Contra Costa,112868,34155,78712,30.3,2.5,2008
00013,Contra Costa,52776,17033,35743,32.3,3.4,2008
00013,Contra Costa,192541,46641,145899,24.2,1.8,2008
00013,Contra Costa,454147,49804,404343,11.0,0.9,2008
00013,Contra Costa,31696,13802,17894,43.5,4.6,2008
00013,Contra Costa,121919,30733,91185,25.2,2.3,2008
00013,Contra Costa,62063,16885,45179,27.2,3.1,2008
00013,Contra Costa,204224,40587,163637,19.9,1.7,2008
00013,Contra Costa,655427,93770,561657,14.3,0.8,2008
00013,Contra Costa,116875,43551,73324,37.3,2.6,2008
00013,Contra Costa,152235,53738,98497,35.3,2.3,2008
00013,Contra Costa,73990,27768,46222,37.5,3.1,2008
00013,Contra Costa,265716,73189,192526,27.5,1.6,2008
00013,Contra Costa,322923,51969,270954,16.1,1.3,2008
00013,Contra Costa,52487,22502,29985,42.9,3.9,2008
00013,Contra Costa,95327,25456,69871,26.7,2.7,2008
00015,Del Norte,3831,692,3140,18.1,3.0,2008
00015,Del Norte,5411,1215,4196,22.5,2.7,2008
00015,Del Norte,2040,521,1519,25.5,4.0,2008
00015,Del Norte,3743,927,2816,24.8,3.2,2008
00015,Del Norte,4466,1209,3257,27.1,4.4,2008
00015,Del Norte,6017,1509,4508,25.1,3.6,2008
00015,Del Norte,2683,740,1944,27.6,5.5,2008
00015,Del Norte,1355,342,1013,25.2,4.8,2008
00015,Del Norte,7973,1409,6564,17.7,2.1,2008
00015,Del Norte,1680,419,1261,24.9,4.4,2008
00015,Del Norte,2063,508,1555,24.6,4.6,2008
00015,Del Norte,2529,578,1951,22.9,3.7,2008
