Year,County,Violent Crimes,Homicide,Rape (Forcible Rape prior to 2014),Rape,Attempted Rape,Robbery,Weapon,Firearm,Knife or Cutting Instrument,Other Weapon,Strong-Arm,Location,Highway,Commercial,Gas Station,Convenience Store,Residence,Bank,Miscellaneous,Aggravated Assault,Weapon.1,Firearm.1,Knife or Cutting Instrument.1,Other Weapon.1,Hands  Fists  Feet,Property Crimes,Burglary,Means of Entry,Forcible Entry,No Force,Location / Time,Residence.1,Night,Day,Unknown,Non-Residence,Night.1,Day.1,Unknown.1,Motor Vehicle Theft,Automotive,Trucks and Buses,Other,Larceny-Theft,Type,Pocket-Picking,Purse-Snatching,Shoplifting,From Motor Vehicle,Motor Vehicle Accessories,Bicycles,From Building,Coin Operated Machine,Other.1,Value,Over $400,Over $200,$200 through $400,$50 through $199,Under $50,Arson,Structural Property,Mobile Property,Other Property
1985,Sierra,53.0,4.0,1.0,1.0,0.0,2.0,,2.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,2.0,0.0,0.0,46.0,,7.0,2.0,3.0,34.0,90.0,41.0,,33.0,8.0,,23.0,3.0,4.0,16.0,18.0,6.0,3.0,9.0,6.0,4.0,0.0,2.0,43.0,,0.0,1.0,0.0,4.0,5.0,1.0,14.0,0.0,18.0,,16.0,0.0,5.0,21.0,1.0,2.0,2.0,0.0,0.0
1985,Siskiyou,164.0,3.0,7.0,7.0,0.0,15.0,,9.0,2.0,0.0,4.0,,7.0,2.0,0.0,2.0,2.0,1.0,1.0,139.0,,15.0,14.0,32.0,78.0,"1,689",459.0,,282.0,177.0,,183.0,51.0,36.0,96.0,276.0,131.0,33.0,112.0,83.0,35.0,22.0,26.0,"1,147",,1.0,1.0,129.0,213.0,92.0,85.0,195.0,26.0,405.0,,134.0,0.0,131.0,340.0,542.0,15.0,9.0,4.0,2.0
1985,Solano,"1,325",12,98,73,25,439,,145,48,26,220,,128,69,32,52,70,12,76,776,,87,122,182,385,"13,883","4,203",,"2,709","1,494",,"2,790",834,"1,471",485,"1,413",733,401,279,840,562,141,137,"8,840",,42,89,"1,749","1,693","1,550",896,934,78,"1,809",,"1,593",0,"1,620","2,429","3,198",161,58,26,77
1985,Sonoma,"1,206",14,98,77,21,230,,66,41,16,107,,94,22,16,9,35,5,49,864,,93,126,299,346,"16,229","5,389",,"3,440","1,949",,"3,863","1,035","1,465","1,363","1,526",889,163,474,876,521,189,166,"9,964",,28,25,"2,182","1,893","1,681","1,131","1,018",60,"1,946",,"1,757",0,"1,486","2,575","4,146",166,71,36,59
1985,Stanislaus,"1,580",16,128,94,34,364,,133,47,34,150,,131,67,8,19,59,8,72,"1,072",,177,167,386,342,"20,013","5,680",,"3,416","2,264",,"3,954","1,165","1,455","1,334","1,726",787,230,709,"1,090",730,208,152,"13,243",,20,62,"2,257","2,513","2,464","1,459","1,177",72,"3,219",,"1,934",0,"2,032","4,116","5,161",278,109,62,107
1985,Sutter,159,5.0,7,7.0,0.0,30,,8,3,2.0,17,,12,4,0.0,2.0,5.0,0.0,7,117,,10,9,38,60,"3,179","1,059",,729,330,,717,220,282,215,342,183,72,87,147,89,23,35,"1,973",,1,1,261,404,201,386,198,73,448,,336.0,0,321.0,762,554,7,4.0,3.0,0
1985,Tehama,228,5.0,12,10.0,2.0,24,,9,2,1.0,12,,8,3,1.0,1.0,5.0,1.0,5,187,,12,21,34,120,"2,205",621,,364,257,,337,78,83,176,284,129,18,137,83,53,12,18,"1,501",,0,3,181,270,207,199,182,16,443,,217.0,0,233.0,495,556,24,7.0,6.0,11
1985,Trinity,49.0,2.0,2.0,2.0,0.0,3.0,,1.0,0.0,2.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,3.0,42.0,,4.0,4.0,3.0,31.0,371.0,119.0,,114.0,5.0,,55.0,24.0,5.0,26.0,64.0,6.0,0.0,58.0,21.0,9.0,8.0,4.0,231.0,,0.0,0.0,11.0,17.0,19.0,17.0,26.0,5.0,136.0,,67.0,0.0,44.0,61.0,59.0,0.0,0.0,0.0,0.0
1985,Tulare,"1,498",25.0,97.0,77.0,20.0,308,,108.0,70.0,29.0,101.0,,124,30.0,13.0,41.0,60.0,2.0,38.0,"1,068",,126,206.0,330,406,"15,273","5,344",,"4,087","1,257",,"3,778","1,311","1,591",876,"1,566",693,346.0,527,758,451,86,221.0,"9,171",,22.0,116.0,"1,491","1,652","1,528","1,169","1,268",83,"1,842",,"1,831",0,"1,682","2,806","2,852",359.0,105.0,62.0,192.0
1985,Tuolumne,282.0,1.0,12.0,9.0,3.0,8.0,,5.0,1.0,0.0,2.0,,1.0,0.0,1.0,0.0,1.0,1.0,4.0,261.0,,20.0,14.0,38.0,189.0,"1,375",478.0,,322.0,156.0,,385.0,47.0,62.0,276.0,93.0,72.0,6.0,15.0,57.0,25.0,17.0,15.0,840,,0.0,3.0,142.0,186.0,81.0,14.0,187.0,12.0,215.0,,157.0,0.0,148.0,220.0,315.0,23.0,19.0,4.0,0.0
1985,Ventura,"1,938",20.0,166.0,120.0,46.0,657,,212,145,58.0,242,,234,134,39.0,60.0,52.0,12.0,126,"1,095",,132,197,393,373,"22,300","6,890",,"4,039","2,851",,"4,733","1,189","2,474","1,070","2,157",907,738,512,"1,740","1,085",320,335,"13,670",,26,79.0,"2,602","2,186","1,708","2,210","1,970",60,"2,829",,"2,640",0,"2,310","4,077","4,643",239,103.0,76.0,60
1985,Yolo,780,8,46,34,12,158,,56,22,16,64,,39,21,15,16,20,5,42,568,,49,81,134,304,"8,314","2,444",,"1,588",856,,"1,397",512,469,416,"1,047",547,200,300,478,269,116,93,"5,392",,11,65,572,966,461,"1,903",580,11,823,,861,0,"1,109","1,925","1,497",96,41,39,16
